id,description,Título
1,A Assombração da Casa da Colina - Shirley Jackson romance Romance Terror Ficção gótica Terror psicológico Romance psicológico literatura americana 1959,A Assombração da Casa da Colina (1)
2,"A Cidade do Sol - Khaled Hosseini Drama Romance Protagonistas Femininas Afeganistão opressão, violência, preconceito e humilhação Desigualdade de gênero Sociedade machista",A Cidade do Sol (2)
3,A Fera na Selva - HenryJames Literaturaamericana Realismo Novela Terceirapessoa Biografia Solidão Destino Amor Morte,A Fera na Selva (3)
4,A Guerra Que Me Ensinou a Viver - Kimberly Brubaker Drama familiar Segunda Guerra Mundial Londres Protagonista feminina Personagens fortes e bem escritos Sensibilidade Refugiados Amadurecimento Aceitação Suspense Realista,A Guerra Que Me Ensinou a Viver (4)
5,A Guerra que Salvou a Minha Vida - Kimberly Brubaker Drama familiar Londres Segunda Guerra Mundial Protagonista feminina Superação conflitos Suspense Realista,A Guerra que Salvou a Minha Vida (5)
6,A Lâmina da Assassina: Trono de Vidro - SarahJMass TronoDeVidro Fantasia Ação Aventura Drama Romance Épico Assassinato IntrigasPolíticas Batalhas  ,A Lâmina da Assassina: Trono de Vidro (6)
7,A lógica Inexplicável da Minha Vida - Benjamin Alire Sáenz Ficção Romance/ Drama Luto Solidão Adoção Adolescência Preconceito Sexualidade Violência Sentimentos crus Personagens Complexos,A Lógica Inexplicável da Minha Vida (7)
8,A Menina Que Roubava Livros - Marcus Zusak Ficção Drama Morte Refugiados Judeus Segunda Guerra Mundial Alemanha Amizade Família Sobrevivência Confiança,A Menina Que Roubava Livros (8)
9,A Metamorfose - FranzKafka Literaturaalemã Novela Terceirapessa Metáforas Hipocrisia Dignidadehumana Autodeterminação Redesignaçãodesexo Esquecimento Realidade,A Metamorfose (9)
10,A Moreninha - Joaquim Manuel de Macedo clássico literaturabrasileira 1844 sociedadeburguesa primeirapessoa romance romantismobrasileiro amorverdadeiro,A Moreninha (10)
